class,image_path,name,xmax,xmin,ymax,ymin
2,81378866af0fa1df73eba401bb0b1a5c.jpg,POTHOLES,941,569,1079,956
7,81378866af0fa1df73eba401bb0b1a5c.jpg,BAD_BILLBOARD,1905,1627,46,0
2,81378866af0fa1df73eba401bb0b1a5c.jpg,POTHOLES,1681,1405,647,463
2,81378866af0fa1df73eba401bb0b1a5c.jpg,POTHOLES,1824,1180,1079,909
4,81378866af0fa1df73eba401bb0b1a5c.jpg,CONSTRUCTION_ROAD,1243,573,1079,913
7,81378866af0fa1df73eba401bb0b1a5c.jpg,BAD_BILLBOARD,1901,1629,60,0
2,81378866af0fa1df73eba401bb0b1a5c.jpg,POTHOLES,1877,1671,721,575
3,81378866af0fa1df73eba401bb0b1a5c.jpg,GARBAGE,1421,1287,392,332
10,81378866af0fa1df73eba401bb0b1a5c.jpg,UNKEPT_FACADE,1829,1575,218,66
2,81378866af0fa1df73eba401bb0b1a5c.jpg,POTHOLES,1508,884,1079,915
2,81378866af0fa1df73eba401bb0b1a5c.jpg,POTHOLES,1857,1565,740,532
4,81378866af0fa1df73eba401bb0b1a5c.jpg,CONSTRUCTION_ROAD,1816,1470,698,478
2,4bdc216b94a6f8926b2ae340e6f25532.jpg,POTHOLES,1089,847,914,800
9,4bdc216b94a6f8926b2ae340e6f25532.jpg,CLUTTER_SIDEWALK,669,315,474,348
2,4bdc216b94a6f8926b2ae340e6f25532.jpg,POTHOLES,1676,1376,874,724
9,4bdc216b94a6f8926b2ae340e6f25532.jpg,CLUTTER_SIDEWALK,782,492,476,388
9,4bdc216b94a6f8926b2ae340e6f25532.jpg,CLUTTER_SIDEWALK,1115,497,461,305
4,4bdc216b94a6f8926b2ae340e6f25532.jpg,CONSTRUCTION_ROAD,875,221,598,378
2,4bdc216b94a6f8926b2ae340e6f25532.jpg,POTHOLES,1775,1233,1079,925
9,4bdc216b94a6f8926b2ae340e6f25532.jpg,CLUTTER_SIDEWALK,449,151,467,367
2,4bdc216b94a6f8926b2ae340e6f25532.jpg,POTHOLES,1341,807,1079,915
9,4bdc216b94a6f8926b2ae340e6f25532.jpg,CLUTTER_SIDEWALK,1021,729,430,338
2,4bdc216b94a6f8926b2ae340e6f25532.jpg,POTHOLES,909,657,936,802
